Board,Category,Refs,Qty,Orderable MPN,Mfr,Quote USD,Ext USD,Source 1,P1,Source 2,P2,Source 3,P3,Notes
Amp,NTC,RT401,1,NTCLE100E3103JB0,Vishay,1.40,1.40,DigiKey,1.40,Mouser,1.30,LCSC,0.40,10k B3950 bead.
Amp,Thermal cutout 100C NC,S401,1,Cantherm F20B10005ACFA06,Cantherm,7.50,7.50,DigiKey,7.50,Mouser,7.00,Newark,8.00,Independent backup in the relay coil supply.
Amp,Panel LEDs,D401 D402 D403,3,WP710A10xxxx,Kingbright,0.25,0.75,DigiKey,0.25,Mouser,0.22,LCSC 3mm,0.05,green / amber / red.
Amp,Protection discretes,Q401-Q412 etc,24,"BC847C,215 / BC857C,215",Nexperia,0.10,2.40,DigiKey,0.10,Mouser,0.09,LCSC,0.03,See docs/04. Buy a 100-reel of each; leftover is cheap insurance.
Amp,Protection passives,—,40,RC0805 / CL21 mix,Yageo / Samsung,0.12,4.80,DigiKey,0.12,Mouser,0.10,LCSC,0.02,Includes 10u DC-sense integrators.
Amp,Input connectors,J401 J402 J403,3,TB003-500-02BE,CUI / Phoenix,1.80,5.40,DigiKey,1.80,Mouser,1.70,LCSC 3.5mm 2-pin,0.40,3.5 mm pitch screw.
Amp,Speaker terminals,J404 J405 J406,3,TB006-508-02BE,CUI,2.20,6.60,DigiKey,2.20,Mouser,2.00,LCSC 5.08mm 2-pin,0.50,>=10 A.
Amp,Rail entry,J407,1,TB007-762-03BE,CUI,3.50,3.50,DigiKey,3.50,Mouser,3.20,Phoenix MKDS 3,4.00,7.62 mm pitch. Not pin headers.
Amp,Control headers,J408 J409,2,0022232021,Molex,0.40,0.80,DigiKey,0.40,Mouser,0.35,LCSC 2.54 2-pin,0.05,remote / shutdown.
Amp,Alumina pads + M3,21 devices,21,Aavid 4180G or Bergquist SP900S-0.009,Boyd / Bergquist,0.85,17.85,DigiKey,0.85,Mouser,0.80,Wakefield,0.90,0.23 mm alumina. Silicone pads invalidate the thermal budget.
Amp,Standoffs + star stud,board + chassis bond,7,M3x10 hex + M4 stud,generic,0.40,2.80,McMaster,0.40,DigiKey,0.50,local hardware,0.30,—
Amp,PCB 4-layer 2oz outer,1 board,1,custom 4L 2/1/1/2 oz ENIG,JLCPCB,55.00,55.00,JLCPCB qty 5,55.00,PCBWay qty 5,75.00,OSH Park 4L (1 oz only — reject),—,~180×140 mm estimate. 2 oz outer is a paid upgrade. Price is per board in a 5-pc panel; qty 2 is closer to $80.
PSU,Primary MOSFET,Q20 Q21 Q22 Q23 Q24,5,IRFB4110PBF,Infineon,3.38,16.90,DigiKey,3.38,Mouser,3.20,LCSC (Infineon),2.10,TO-220 100 V 3.7 mΩ. Four push-pull + one ideal-diode pass.
PSU,Output rectifier,D20 D21,2,STPS40H100CW,ST,2.60,5.20,DigiKey,2.60,Mouser,2.40,LCSC (onsemi MBR40H100WTG),1.80,TO-247 dual 100 V. MBRB30H100CT is D2PAK if you prefer SMT.
PSU,Aux rectifier,D22 D23,2,MURS120T3G,onsemi,0.45,0.90,DigiKey,0.45,Mouser,0.40,LCSC,0.12,SMB 200 V 1 A ultrafast.
PSU,Load-dump TVS,D24,1,SMDJ30CA,Littelfuse,0.85,0.85,DigiKey,0.85,Mouser,0.80,LCSC,0.25,SMC bidirectional 30 V standoff.
PSU,B+ clamp,D25,1,SMCJ33A,Littelfuse,0.45,0.45,DigiKey,0.45,Mouser,0.40,LCSC,0.12,SMC unidirectional.
PSU,PWM controller,U10,1,SG3525ADWR2G,onsemi,1.09,1.09,DigiKey,1.09,Mouser,0.96,LCSC (onsemi),1.49,SOIC-16W. DIP SG3525AN is obsolete / NCNR at DigiKey. Same die; SYNC pin is why this part was chosen.
PSU,Gate driver,U11,1,UCC27524ADR,TI,1.85,1.85,DigiKey,1.85,Mouser,1.80,LCSC (TI),1.20,SOIC-8 5 A dual. MSOP UCC27524ADGN is $2.80.
PSU,Ideal diode ctrl,U12,1,LM74700QDRQ1,TI,2.71,2.71,DigiKey,2.71,Mouser,2.60,LCSC (TI),1.90,SOIC-8 automotive.
PSU,OC comparator,U13,1,LM393DR,TI / onsemi,0.40,0.40,DigiKey,0.40,Mouser,0.35,LCSC,0.08,SOIC-8.
PSU,Shunt 5 mΩ 3W 4-terminal,R60,1,CSS2H-2512R-L500F,Bourns,1.80,1.80,DigiKey,1.80,Mouser,1.70,Vishay WSLP,2.20,Kelvin current sense. 0.5 mΩ–5 mΩ in this family; pick 5 mΩ.
PSU,Gate resistors 4R7 1206,R61-R64,4,RC1206FR-074R7L,Yageo,0.12,0.48,DigiKey,0.12,Mouser,0.10,LCSC,0.01,One per MOSFET — never shared.
PSU,Snubber 10R 1W 2512,R65-R70,6,RC2512FK-0710RL,Yageo,0.35,2.10,DigiKey,0.35,Mouser,0.30,LCSC,0.08,Tune at bring-up.
PSU,Feedback 0.1% pair,R71 R72,2,TNPW0805xxxxBEEA,Vishay,0.60,1.20,DigiKey,0.60,Mouser,0.55,LCSC,0.25,Sets rail balance.
PSU,Control resistors,R73-R85,13,RC0805FR,Yageo,0.10,1.30,DigiKey,0.10,Mouser,0.10,LCSC,0.01,Rt dead-time compensation preloads.
PSU,Input bulk 4700u 25V,C30 C31,2,EEU-FR1E472L,Panasonic,2.80,5.60,DigiKey,2.80,Mouser,2.50,Nichicon UPW,2.40,18 mm. Adjacent to the MOSFETs.
PSU,Output bulk 4700u 35V,C38 C39,2,EEU-FR1V472L,Panasonic,3.50,7.00,DigiKey,3.50,Mouser,3.20,Newark,3.80,Same as amp-board main bulk — buy eight for two units.
PSU,2nd filter 1000u 35V,C40 C41,2,EEU-FR1V102L,Panasonic,1.20,2.40,DigiKey,1.20,Mouser,1.10,LCSC,0.45,12 mm radial.
PSU,Aux 220u 63V,C46 C47,2,EEU-FR1J221L,Panasonic,0.80,1.60,DigiKey,0.80,Mouser,0.75,LCSC,0.35,—
PSU,Input/output film 1u,C32 C33 C42 C43,4,MKS4C041005C00KSSD,WIMA,1.30,5.20,DigiKey,1.30,Mouser,1.20,RS,1.40,—
PSU,MOSFET ceramic 100n 100V 1206,C34-C37 C44 C45,6,CL31B104KCHNNNE,Samsung,0.18,1.08,DigiKey,0.18,Mouser,0.15,LCSC,0.03,100 V X7R at the drains.
PSU,Snubber C0G 2n2 100V 1206,C48-C53,6,C1206C222J1GACTU,Kemet,0.35,2.10,DigiKey,0.35,Mouser,0.30,LCSC Samsung C0G,0.08,C0G only.
PSU,Control ceramics,C54-C60,7,CL21 mix,Samsung,0.15,1.05,DigiKey,0.15,Mouser,0.12,LCSC,0.02,10u soft-start + 10n Ct C0G + 100n decouple.
PSU,ETD44 core pair 3C95,T1 core,1,ETD44/22/15-3C95,Ferroxcube,6.50,6.50,Newark / Farnell,6.50,DigiKey (when stocked),7.00,Elna / local magnetics,8.00,Two halves. TDK N87 ETD44 is the alternate.
PSU,ETD44 bobbin + clips,T1 hardware,1,CSH-ETD44-1S-10P + CLI-ETD44,Ferroxcube,3.50,3.50,Newark,3.50,Farnell,3.20,DigiKey CLI-ETD44,0.20 clip only,Horizontal 10-pin bobbin + clip set.
PSU,Cu foil + magnet wire,T1 winding,1,0.25×25 mm foil + 8×0.5 mm,generic,12.00,12.00,Temco / MWS,12.00,Remington,12.00,local,15.00,Foil primary + litz/bundle secondary. Budget assumes one rewind.
PSU,Coupled choke core,L20,1,0077439A7 Kool Mµ,Magnetics Inc,6.50,6.50,Magnetics Inc,6.50,Coilcraft equivalent,8.00,Micrometals T157-26,4.50,Plus ~$2 of wire. Sendust/Kool Mµ not powdered iron.
PSU,Aux chokes 2.2mH,L21 L22,2,11R223C,Murata,1.80,3.60,DigiKey,1.80,Mouser,1.70,LCSC radial 2.2mH,0.80,>=100 mA.
PSU,CM choke,L23,1,hand-wound FT-50A-J,Fair-Rite,2.50,2.50,DigiKey (core),1.20,Mouser,1.10,wire,1.30,2×15 turns 16 AWG on a ferrite toroid. Premade 25 µH 30 A CM chokes are ~$6 if you prefer not to wind.
PSU,2nd-stage 4.7uH 10A,L24 L25,2,SRP1770TA-4R7M,Bourns,2.40,4.80,DigiKey,2.40,Mouser,2.20,Coilcraft,3.00,Or two powdered-iron toroids hand-wound.
PSU,ATO fuse + holder,F10,1,0299030.ZXNV + 0FHM0002XP,Littelfuse,3.20,3.20,DigiKey,3.20,Mouser,3.00,LCSC,1.50,30 A blade + PCB/panel holder.
PSU,Power lugs in/out,J10 J11,2,a 4 AWG mechanical lug,Panduit / TE,4.00,8.00,DigiKey,4.00,Mouser,3.80,McMaster,3.50,Bolted. Plus 2.5 mm² busbar ~$3 of copper strip.
PSU,Aux / sync / shutdown,J12 J13 J14,3,0022232041 / 0022232021,Molex,0.50,1.50,DigiKey,0.50,Mouser,0.45,LCSC,0.08,—
PSU,Alumina pads + M3,7 devices,7,Aavid 4180G,Boyd,0.85,5.95,DigiKey,0.85,Mouser,0.80,Wakefield,0.90,MOSFETs and rectifiers.
PSU,Shield partition,1,1,2 mm Al plate ~150×80,local fab,8.00,8.00,local metal,8.00,OnlineMetals,10.00,McMaster,9.00,Bonded to chassis between PSU and amp.
PSU,PCB 4-layer 2oz outer,1 board,1,custom 4L 2/1/1/2 oz ENIG,JLCPCB,50.00,50.00,JLCPCB qty 5,50.00,PCBWay qty 5,70.00,OSH Park (reject 1 oz),—,~150×120 mm estimate. Same stackup as the amp board.
Unit,Chassis / heatsink,1 per unit,1,finned Al extrusion ~250×175×40,local machine shop,120.00,120.00,local fab,120.00,HeatsinkUSA / Wakefield,150.00,eBay extrusion,80.00,Not a PCB cost. Rth <= 1.09 °C/W natural convection. Quoted per unit not per board.
Unit,Wire / hardware leftover,1 per unit,1,16 AWG / 12 AWG / thermal compound,generic,15.00,15.00,McMaster,15.00,DigiKey,18.00,Amazon,12.00,Board-to-board rail cable must be short and fat.
